ticker,name,business,description,revenueMix,currentElements,currentPrimary,elementSource,businessEvidenceSource,isCorrect,correctedElements,note
"ADVANC","แอดวานซ์ อินโฟร์ เซอร์วิส","ให้บริการโทรศัพท์เคลื่อนที่ อินเทอร์เน็ต โทรคมนาคม","ผู้ให้บริการโทรคมนาคมรายใหญ่ที่สุดของไทย (AIS) บริการโทรศัพท์เคลื่อนที่ อินเทอร์เน็ตความเร็วสูง ไฟเบอร์ และบริการดิจิทัล ครอบคลุมลูกค้าทั่วประเทศ","บริการโทรศัพท์เคลื่อนที่/ดาต้า (~75%) | อินเทอร์เน็ต/ไฟเบอร์/ดิจิทัล (~25%)","ไม้","ไม้","career-business.txt","","","",""
"AOT","ท่าอากาศยานไทย","บริหารท่าอากาศยาน สนามบิน บริการการบิน","","","น้ำ","น้ำ","career-business.txt","","","",""
"BBL","ธนาคารกรุงเทพ","ธนาคารพาณิชย์ สินเชื่อ การเงิน","","","น้ำ","น้ำ","career-business.txt","","","",""
"BDMS","กรุงเทพดุสิตเวชการ","โรงพยาบาล บริการทางการแพทย์ เครือข่ายคลินิก","","","ไฟ","ไฟ","career-business.txt","","","",""
"BEM","ทางด่วนและรถไฟฟ้ากรุงเทพ","ทางด่วน รถไฟฟ้าใต้ดิน โครงสร้างพื้นฐานคมนาคม","","","น้ำ,ดิน","น้ำ","career-business.txt","","","",""
"BH","โรงพยาบาลบำรุงราษฎร์","โรงพยาบาลเอกชน บริการทางการแพทย์ การท่องเที่ยวเชิงสุขภาพ","","","ไฟ,น้ำ","ไฟ","career-business.txt","","","",""
"BJC","เบอร์ลี่ ยุคเกอร์","ค้าปลีกค้าส่ง สินค้าอุปโภคบริโภค บรรจุภัณฑ์","","","น้ำ","น้ำ","career-business.txt","","","",""
"BTS","บีทีเอส กรุ๊ป โฮลดิ้งส์","รถไฟฟ้าบีทีเอส ขนส่งมวลชน สื่อโฆษณา","","","น้ำ,ไม้","น้ำ","career-business.txt","","","",""
"CPALL","ซีพี ออลล์","ร้านสะดวกซื้อ 7-Eleven ค้าปลีก โลจิสติกส์","","","น้ำ","น้ำ","career-business.txt","","","",""
"CPF","เจริญโภคภัณฑ์อาหาร","อาหารสัตว์ ปศุสัตว์ เนื้อสัตว์ อาหารแปรรูป","","","น้ำ,ดิน","น้ำ","career-business.txt","","","",""
"CPN","เซ็นทรัลพัฒนา","ศูนย์การค้า ห้างสรรพสินค้า อสังหาริมทรัพย์เชิงพาณิชย์","ผู้นำธุรกิจศูนย์การค้าและอสังหาริมทรัพย์เชิงพาณิชย์ของไทย เจ้าของเซ็นทรัลเวิลด์ เซ็นทรัลพลาซ่า และเซ็นทรัลเฟสติวัลทั่วประเทศ รวมถึงอาคารสำนักงานให้เช่า","ค่าเช่าศูนย์การค้า/พื้นที่ค้าปลีก (~75%) | บริการและอื่น ๆ (~25%)","ดิน,น้ำ","ดิน","Source4 §5 + career-business.txt","","","",""
"CRC","เซ็นทรัล รีเทล คอร์ปอเรชั่น","ค้าปลีกค้าส่ง ห้างสรรพสินค้า ซูเปอร์มาร์เก็ต","","","น้ำ","น้ำ","career-business.txt","","","",""
